,Date,Close_2
,"Jun 5, 18",15.92
,"Jun 6, 18",15.68
,2018-06-07,16.36
,2018-06-08,16.19
,2018-06-11,17.07
,2018-06-12,17.08
,2018-06-13,17.51
,2018-06-14,17.33
,2018-06-15,17.75
,2018-06-18,18.80
,2018-06-19,18.63
,2018-06-20,18.40
,2018-06-21,17.64
,2018-06-22,17.49
,2018-06-25,16.29
,2018-06-26,16.79
,2018-06-27,17.92
,2018-06-28,18.23
,2018-06-29,18.30
,2018-07-02,18.56
,2018-07-03,18.97
,2018-07-05,19.64
,2018-07-06,19.97
,2018-07-09,20.42
,2018-07-10,19.89
,2018-07-11,19.48
,2018-07-12,19.67
,2018-07-13,19.66
,2018-07-16,20.35
,2018-07-17,20.19
,2018-07-18,20.66
,2018-07-19,20.81
,2018-07-20,21.26
,2018-07-23,19.65
,2018-07-24,20.02
,2018-07-25,19.80
,2018-07-26,20.80
,2018-07-27,21.20
,2018-07-30,21.65
,2018-07-31,28.15
,2018-08-01,30.10
,2018-08-02,29.12
,2018-08-03,27.45
,2018-08-06,28.72
,2018-08-07,30.79
,2018-08-08,31.58
,2018-08-09,31.85
,2018-08-10,30.90
,2018-08-13,32.17
,2018-08-14,30.22
,2018-08-15,29.78
,2018-08-16,32.03
,2018-08-17,33.40
,2018-08-20,33.88
,2018-08-21,34.83
,2018-08-22,33.75
,2018-08-23,33.40
,2018-08-24,34.62
,2018-08-27,33.05
,2018-08-28,33.27
,2018-08-29,31.15
,2018-08-30,29.67
,2018-08-31,27.70
,2018-09-04,27.86
,2018-09-05,25.29
,2018-09-06,25.40
,2018-09-07,23.80
,2018-09-10,23.28
,2018-09-11,24.72
,2018-09-12,22.20
,2018-09-13,22.08
,2018-09-14,23.26
,2018-09-17,25.07
,2018-09-18,25.20
,2018-09-19,27.12
,2018-09-20,27.47
,2018-09-21,27.23
,2018-09-24,25.02
,2018-09-25,25.06
,2018-09-26,23.19
,2018-09-27,22.26
,2018-09-28,22.23
,2018-10-01,21.71
,2018-10-02,21.90
,2018-10-03,22.42
,2018-10-04,23.45
,2018-10-05,23.75
,2018-10-08,24.25
,2018-10-09,24.22
,2018-10-10,24.53
,2018-10-11,24.28
,2018-10-12,24.75
,2018-10-15,24.14
,2018-10-16,24.17
,2018-10-17,25.10
,2018-10-18,24.75
,2018-10-19,25.89
,2018-10-22,23.71
,2018-10-23,23.40
,2018-10-24,23.21
,2018-10-25,24.55
,2018-10-26,25.44
,2018-10-29,25.19
,2018-10-30,18.76
,2018-10-31,19.43
,2018-11-01,18.83
,2018-11-02,17.95
,2018-11-05,18.59
,2018-11-06,18.20
,2018-11-07,18.00
,2018-11-08,18.44
,2018-11-09,18.74
,2018-11-12,19.12
,2018-11-13,18.93
,2018-11-14,18.99
,2018-11-15,19.32
,2018-11-16,18.61
,2018-11-19,19.19
,2018-11-20,18.12
,2018-11-21,18.82
,2018-11-23,19.37
,2018-11-26,21.15
,2018-11-27,21.51
,2018-11-28,23.04
,2018-11-29,21.87
,2018-11-30,22.07
,2018-12-03,23.74
,2018-12-04,24.27
,2018-12-06,23.37
,2018-12-07,24.11
,2018-12-10,24.04
,2018-12-11,24.02
,2018-12-12,24.21
,2018-12-13,23.68
,2018-12-14,24.62
,2018-12-17,25.76
,2018-12-18,25.85
,2018-12-19,25.74
,2018-12-20,25.96
,2018-12-21,25.94
,2018-12-24,26.81
,2018-12-26,27.02
,2018-12-27,27.34
,2018-12-28,26.76
,2018-12-31,25.37
,2019-01-02,26.13
,"Jan 2, 2020",29.34
,"Jan 3, 2020",29.29
,"Jan 6, 2020",29.66
,"Jan 7, 2020",29.99
,"Jan 8, 2020",31.00
,"Jan 9, 2020",31.59
,"Jan 10, 2020",30.67
,"Jan 13, 2020",30.79
,"Jan 14, 2020",30.20
,"Jan 15, 2020",30.16
,"Jan 16, 2020",30.83
,"Jan 17, 2020",31.50
,"Jan 21, 2020",31.26
,"Jan 22, 2020",31.62
,"Jan 23, 2020",32.07
,"Jan 24, 2020",32.70
,"Jan 27, 2020",29.95
,"Jan 28, 2020",32.24
,"Jan 29, 2020",32.56
,"Jan 30, 2020",33.49
,"Jan 31, 2020",31.52
,"Feb 3, 2020",32.92
,"Feb 4, 2020",36.90
,"Feb 5, 2020",36.91
,"Feb 6, 2020",38.39
,"Feb 7, 2020",38.05
,"Feb 10, 2020",38.61
,"Feb 11, 2020",39.66
,"Feb 12, 2020",41.50
,"Feb 13, 2020",41.34
,"Feb 14, 2020",41.09
,"Feb 18, 2020",40.17
,"Feb 19, 2020",57.22
,"Feb 20, 2020",58.74
,"Feb 21, 2020",59.09
,"Feb 24, 2020",55.26
,"Feb 25, 2020",50.90
,"Feb 26, 2020",51.87
,"Feb 27, 2020",48.76
,"Feb 28, 2020",48.97
,"Mar 2, 2020",51.40
,"Mar 3, 2020",52.37
,"Mar 4, 2020",53.47
,"Mar 5, 2020",56.69
,"Mar 6, 2020",53.05
,"Mar 9, 2020",43.38
,"Mar 10, 2020",45.59
,"Mar 11, 2020",41.73
,"Mar 12, 2020",33.02
,"Mar 13, 2020",32.86
,"Mar 16, 2020",27.45
,"Mar 17, 2020",29.28
,"Mar 18, 2020",23.99
,"Mar 19, 2020",26.25
,"Mar 20, 2020",26.00
,"Mar 23, 2020",27.51
,"Mar 24, 2020",34.34
,"Mar 25, 2020",36.81
,"Mar 26, 2020",36.13
,"Mar 27, 2020",32.38
,"Mar 30, 2020",32.00
,"Mar 31, 2020",32.29
,"Apr 1, 2020",29.77
,"Apr 2, 2020",29.92
,"Apr 3, 2020",28.69
,"Apr 6, 2020",34.05
,"Apr 7, 2020",35.04
,"Apr 8, 2020",37.93
,"Apr 9, 2020",38.06
,"Apr 13, 2020",37.78
,"Apr 14, 2020",41.40
,"Apr 15, 2020",39.61
,"Apr 16, 2020",38.79
,"Apr 17, 2020",38.96
,"Apr 20, 2020",39.01
,"Apr 21, 2020",35.51
,"Apr 22, 2020",38.24
,"Apr 23, 2020",39.48
,"Apr 24, 2020",37.73
,"Apr 27, 2020",37.21
,"Apr 28, 2020",43.00
,"Apr 29, 2020",48.99
,"Apr 30, 2020",46.83
,"May 1, 2020",43.25
,"May 4, 2020",43.98
,"May 5, 2020",44.37
,"May 6, 2020",52.68
,"May 7, 2020",54.49
,"May 8, 2020",57.28
,"May 11, 2020",59.58
,"May 12, 2020",59.27
,"May 13, 2020",57.47
,"May 14, 2020",56.98
,"May 15, 2020",58.38
,"May 18, 2020",64.42
,"May 19, 2020",67.04
,"May 20, 2020",64.17
,"May 21, 2020",59.93
,"May 22, 2020",56.42
,"May 26, 2020",58.43
,"May 27, 2020",57.86
,"May 28, 2020",55.80
,"May 29, 2020",58.19
,"Jun 1, 2020",59.68
,"Jun 2, 2020",56.95
,"Jun 3, 2020",53.32
,"Jun 4, 2020",51.64
,"Jun 5, 2020",54.59
,"Jun 8, 2020",52.90
,"Jun 9, 2020",51.58
,"Jun 10, 2020",49.35
,"Jun 11, 2020",47.66
,"Jun 12, 2020",48.63
,"Jun 15, 2020",50.45
,"Jun 16, 2020",52.76
,"Jun 17, 2020",39.04
,"Jun 18, 2020",45.72
,"Jun 19, 2020",46.72
,"Jun 22, 2020",45.56
,"Jun 23, 2020",45.49
,"Jun 24, 2020",46.68
,"Jun 25, 2020",45.80
,"Jun 26, 2020",45.30
,"Jun 29, 2020",47.45
,"Jun 30, 2020",47.57
,"Jul 1, 2020",49.06
,"Jul 2, 2020",48.86
,"Jul 6, 2020",50.16
,"Jul 7, 2020",50.64
,"Jul 8, 2020",54.93
,"Jul 9, 2020",55.80
,"Jul 10, 2020",55.43
,"Jul 13, 2020",52.32
,"Jul 14, 2020",55.88
,"Jul 15, 2020",57.95
,"Jul 16, 2020",57.74
,"Jul 17, 2020",59.31
,"Jul 20, 2020",63.54
,"Jul 21, 2020",61.10
,"Jul 22, 2020",62.08
,"Jul 23, 2020",61.67
,"Jul 24, 2020",59.65
,"Jul 27, 2020",62.22
,"Jul 28, 2020",57.23
,"Jul 29, 2020",59.12
,"Jul 30, 2020",59.14
,"Jul 31, 2020",60.36
,"Aug 3, 2020",61.21
,"Aug 4, 2020",68.95
,"Aug 5, 2020",74.99
,"Aug 6, 2020",71.37
,"Aug 7, 2020",72.84
,"Aug 10, 2020",71.84
,"Aug 11, 2020",67.30
,"Aug 12, 2020",71.19
,"Aug 13, 2020",74.88
,"Aug 14, 2020",73.16
,"Aug 17, 2020",75.06
,"Aug 18, 2020",75.16
,"Aug 19, 2020",75.49
,"Aug 20, 2020",73.09
,"Aug 21, 2020",73.14
,"Aug 24, 2020",73.36
,"Aug 25, 2020",75.93
,"Aug 26, 2020",75.24
,"Aug 27, 2020",73.44
,"Aug 28, 2020",76.04
,"Aug 31, 2020",77.23
,"Sep 1, 2020",78.71
,"Sep 2, 2020",77.02
,"Sep 3, 2020",67.80
,"Sep 4, 2020",66.16
,"Sep 8, 2020",65.05
,"Sep 9, 2020",67.71
,"Sep 10, 2020",66.10
,"Sep 11, 2020",65.10
,"Sep 14, 2020",69.49
,"Sep 15, 2020",72.16
,"Sep 16, 2020",72.83
,"Sep 17, 2020",66.87
,"Sep 18, 2020",68.27
,"Sep 21, 2020",70.72
,"Sep 22, 2020",72.23
,"Sep 23, 2020",70.27
,"Sep 24, 2020",69.41
,"Sep 25, 2020",73.62
,"Sep 28, 2020",78.14
,"Sep 29, 2020",80.80
